TIME_PERIOD,VICTIMIZATION_PRIMARY,AGE,SEX,RACE,NUMBER_OF_VICTIMS
12/31/2014,BATTERY,20-29,M,UNKNOWN,1
9/30/2017,ROBBERY,20-29,M,WBH,8
9/30/2006,ASSAULT,0-19,M,WHI,11
9/30/2008,BATTERY,30-39,M,WWH,13
3/31/2018,BATTERY,0-19,M,WHI,3
9/30/2007,BATTERY,20-29,F,WHI,20
6/30/2019,ASSAULT,40-49,F,WHI,4
12/31/2002,HOMICIDE,70-79,M,BLK,1
6/30/2010,ASSAULT,0-19,M,WWH,2
6/30/2021,ROBBERY,40-49,M,BLK,92
6/30/2005,ASSAULT,20-29,F,API,2
6/30/2008,BATTERY,20-29,M,WWH,148
6/30/2022,ROBBERY,0-19,M,API,2
6/30/2009,ROBBERY,40-49,M,WWH,1
9/30/1993,HOMICIDE,50-59,M,BLK,3
6/30/2016,BATTERY,50-59,M,WBH,1
3/31/2012,BATTERY,20-29,M,BLK,95
12/31/2021,HOMICIDE,30-39,M,BLK,1
6/30/2016,BATTERY,20-29,F,BLK,122
12/31/2001,HOMICIDE,20-29,F,BLK,2
9/30/2020,NON-FATAL,30-39,M,BLK,3
3/31/2021,BATTERY,80+,F,BLK,1
12/31/2003,ROBBERY,20-29,F,I,2
12/31/2015,ROBBERY,80+,M,WWH,4
6/30/2006,ROBBERY,50-59,F,WHI,27
9/30/2012,ROBBERY,20-29,M,UNKNOWN,30
3/31/2001,CRIMINAL SEXUAL ASSAULT,UNKNOWN,F,BLK,2
6/30/2019,ROBBERY,0-19,M,WHI,1
3/31/2004,ASSAULT,UNKNOWN,F,BLK,5
6/30/2018,ASSAULT,0-19,M,WWH,1
12/31/2013,ROBBERY,60-69,M,BLK,73
9/30/2003,BATTERY,60-69,M,BLK,11
3/31/2011,CRIMINAL SEXUAL ASSAULT,0-19,F,UNKNOWN,5
6/30/2001,ROBBERY,70-79,F,WWH,4
9/30/2011,ASSAULT,80+,M,API,1
12/31/2020,ASSAULT,30-39,M,WWH,48
12/31/2015,ROBBERY,0-19,F,BLK,2
6/30/2011,ASSAULT,70-79,M,WHI,1
3/31/2014,HOMICIDE,50-59,F,BLK,1
6/30/2009,ASSAULT,0-19,F,WWH,17
3/31/2004,ASSAULT,60-69,F,BLK,6
9/30/2013,BATTERY,40-49,M,UNKNOWN,1
3/31/2013,ASSAULT,0-19,F,BLK,16
3/31/2006,HOMICIDE,0-19,M,BLK,1
6/30/1991,HOMICIDE,20-29,M,WHI,1
6/30/2011,ASSAULT,20-29,F,WBH,2
9/30/2020,ASSAULT,60-69,M,WWH,6
9/30/2012,BATTERY,50-59,M,BLK,35
3/31/2018,HOMICIDE,0-19,F,BLK,1
3/31/2021,BATTERY,0-19,M,WWH,3
3/31/2015,ASSAULT,50-59,F,BLK,11
6/30/2001,ASSAULT,0-19,F,WWH,11
12/31/2012,ASSAULT,0-19,M,UNKNOWN,1
9/30/2022,ASSAULT,50-59,M,WBH,1
6/30/2007,BATTERY,30-39,F,WHI,4
6/30/2008,CRIMINAL SEXUAL ASSAULT,80+,F,WHI,1
3/31/2005,ASSAULT,70-79,F,UNKNOWN,1
3/31/2002,ROBBERY,70-79,M,BLK,1
9/30/2014,ASSAULT,30-39,F,UNKNOWN,1
9/30/2014,BATTERY,0-19,M,BLK,13
6/30/2010,BATTERY,0-19,M,WBH,1
12/31/2020,BATTERY,60-69,F,WHI,2
12/31/2003,ROBBERY,40-49,M,UNKNOWN,5
6/30/2004,HOMICIDE,20-29,F,BLK,1
12/31/2015,ASSAULT,70-79,F,BLK,2
12/31/2004,ASSAULT,40-49,F,BLK,38
6/30/2010,ROBBERY,40-49,F,WWH,18
6/30/2011,HOMICIDE,50-59,M,WWH,1
6/30/2020,CRIMINAL SEXUAL ASSAULT,30-39,M,BLK,1
3/31/2002,ASSAULT,0-19,M,BLK,7
12/31/2003,BATTERY,30-39,M,BLK,74
3/31/1995,HOMICIDE,40-49,M,WHI,2
3/31/2014,ASSAULT,40-49,F,UNKNOWN,3
6/30/2021,CRIMINAL SEXUAL ASSAULT,20-29,M,UNKNOWN,1
6/30/2008,ASSAULT,20-29,M,WBH,2
9/30/2015,ASSAULT,20-29,F,BLK,86
3/31/2013,ROBBERY,40-49,M,BLK,1
12/31/2014,CRIMINAL SEXUAL ASSAULT,0-19,M,API,1
9/30/2020,BATTERY,30-39,F,WHI,5
3/31/2020,BATTERY,40-49,F,WHI,1
6/30/2006,ROBBERY,80+,F,UNKNOWN,1
6/30/2017,ROBBERY,60-69,F,WHI,11
6/30/2011,BATTERY,20-29,F,WWH,15
6/30/2009,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,12
6/30/2016,ASSAULT,50-59,M,WWH,1
6/30/2002,BATTERY,50-59,M,API,3
6/30/2008,ROBBERY,0-19,F,WHI,14
6/30/2013,BATTERY,60-69,M,API,2
6/30/2004,BATTERY,0-19,M,API,2
12/31/2004,ROBBERY,0-19,M,BLK,292
6/30/2009,ROBBERY,60-69,M,WWH,19
3/31/2017,CRIMINAL SEXUAL ASSAULT,60-69,M,UNKNOWN,1
6/30/2017,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,46
9/30/2013,ROBBERY,30-39,M,BLK,175
3/31/2013,BATTERY,30-39,M,UNKNOWN,3
6/30/2016,ROBBERY,0-19,M,WBH,2
12/31/2020,ASSAULT,40-49,F,WHI,2
3/31/2020,ASSAULT,30-39,M,WBH,7
12/31/2014,BATTERY,20-29,M,WWH,35
12/31/2015,ROBBERY,40-49,M,I,1
9/30/2003,ASSAULT,40-49,M,BLK,38
9/30/2020,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,14
12/31/2015,ROBBERY,20-29,F,UNKNOWN,11
6/30/2021,CRIMINAL SEXUAL ASSAULT,80+,F,WWH,1
6/30/2002,ROBBERY,0-19,M,API,1
12/31/2020,BATTERY,30-39,F,WBH,2
6/30/2016,ASSAULT,50-59,F,WWH,5
9/30/2013,ROBBERY,30-39,F,BLK,113
12/31/2016,BATTERY,UNKNOWN,UNKNOWN,UNKNOWN,25
6/30/2009,ROBBERY,40-49,F,WWH,1
3/31/2002,ROBBERY,70-79,F,BLK,4
12/31/2016,HOMICIDE,20-29,M,WHI,2
9/30/2005,BATTERY,0-19,M,BLK,102
12/31/2018,BATTERY,30-39,UNKNOWN,WHI,1
12/31/2003,HOMICIDE,30-39,M,WWH,4
6/30/2001,ROBBERY,70-79,M,WWH,5
9/30/1995,HOMICIDE,0-19,F,BLK,1
6/30/1992,HOMICIDE,0-19,M,BLK,1
6/30/2005,ASSAULT,20-29,M,API,2
12/31/2003,ROBBERY,40-49,F,UNKNOWN,2
12/31/2014,HOMICIDE,0-19,M,BLK,1
12/31/2021,BATTERY,50-59,M,BLK,22
12/31/2003,BATTERY,30-39,F,BLK,82
6/30/2006,ROBBERY,50-59,M,WHI,51
6/30/2002,BATTERY,50-59,F,API,1
6/30/2005,ROBBERY,40-49,UNKNOWN,UNKNOWN,1
12/31/2009,HOMICIDE,60-69,M,WWH,1
9/30/2014,ASSAULT,30-39,M,UNKNOWN,1
6/30/2015,HOMICIDE,30-39,M,WWH,3
6/30/2011,ASSAULT,20-29,M,WBH,2
12/31/2014,CRIMINAL SEXUAL ASSAULT,0-19,F,API,1
3/31/2015,ASSAULT,50-59,M,BLK,29
6/30/2009,CRIMINAL SEXUAL ASSAULT,40-49,M,BLK,2
9/30/2020,BATTERY,30-39,M,WHI,15
3/31/2002,ASSAULT,80+,M,WWH,1
6/30/2010,HOMICIDE,40-49,M,BLK,5
12/31/2015,ASSAULT,70-79,M,BLK,2
6/30/2007,BATTERY,30-39,M,WHI,5
3/31/2003,ROBBERY,20-29,M,BLK,6
12/31/2015,ASSAULT,30-39,F,UNKNOWN,1
3/31/2002,BATTERY,40-49,M,BLK,175
6/30/2006,BATTERY,30-39,M,WBH,2
3/31/2021,ASSAULT,40-49,M,WWH,8
3/31/2020,ROBBERY,70-79,F,WHI,2
9/30/2012,ROBBERY,60-69,M,BLK,77
6/30/2020,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,1
6/30/2004,ROBBERY,0-19,F,API,2
9/30/2003,ROBBERY,50-59,M,BLK,195
3/31/2017,CRIMINAL SEXUAL ASSAULT,20-29,M,BLK,3
6/30/2018,BATTERY,40-49,M,WWH,13
12/31/2004,BATTERY,0-19,F,BLK,44
9/30/2000,HOMICIDE,30-39,F,WWH,1
9/30/2022,HOMICIDE,30-39,M,WWH,9
6/30/2009,CRIMINAL SEXUAL ASSAULT,40-49,F,WHI,1
3/31/2021,ROBBERY,0-19,F,WWH,6
6/30/2010,ASSAULT,20-29,M,WHI,1
6/30/2019,HOMICIDE,40-49,M,WWH,1
9/30/2010,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,3
3/31/2014,BATTERY,30-39,F,WWH,10
12/31/2004,ROBBERY,40-49,F,WWH,1
12/31/2020,BATTERY,40-49,M,UNKNOWN,1
9/30/2015,BATTERY,40-49,M,I,1
12/31/2003,BATTERY,0-19,F,BLK,169
6/30/2012,HOMICIDE,20-29,F,BLK,5
9/30/2011,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,2
9/30/2010,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,3
9/30/2021,ASSAULT,20-29,F,WHI,3
9/30/2003,CRIMINAL SEXUAL ASSAULT,40-49,M,WHI,2
9/30/2015,BATTERY,20-29,F,UNKNOWN,1
12/31/2010,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,13
9/30/2013,ASSAULT,40-49,M,BLK,38
12/31/2011,CRIMINAL SEXUAL ASSAULT,20-29,F,UNKNOWN,3
12/31/2016,CRIMINAL SEXUAL ASSAULT,40-49,F,WWH,2
9/30/2016,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,9
9/30/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,47
6/30/2010,ASSAULT,30-39,F,WWH,25
3/31/2012,ASSAULT,20-29,M,UNKNOWN,2
3/31/2005,BATTERY,70-79,F,BLK,4
3/31/2014,ROBBERY,30-39,F,UNKNOWN,7
9/30/2012,ASSAULT,50-59,M,UNKNOWN,2
6/30/2014,ROBBERY,60-69,F,API,3
9/30/2002,ROBBERY,0-19,M,BLK,128
9/30/2022,ASSAULT,0-19,F,WWH,3
6/30/2006,ASSAULT,20-29,F,WHI,17
12/31/2012,BATTERY,0-19,M,BLK,2
12/31/2005,BATTERY,50-59,F,BLK,15
9/30/2021,ROBBERY,0-19,M,WBH,1
9/30/2011,HOMICIDE,40-49,M,WHI,1
3/31/2004,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,5
12/31/2002,ASSAULT,20-29,M,BLK,102
3/31/2005,ASSAULT,UNKNOWN,M,BLK,1
6/30/2006,BATTERY,70-79,M,WWH,2
6/30/2018,BATTERY,50-59,F,WHI,1
6/30/2019,ROBBERY,30-39,F,WHI,36
3/31/2015,ROBBERY,20-29,F,BLK,140
3/31/2013,ASSAULT,30-39,M,BLK,16
9/30/2002,ASSAULT,70-79,M,BLK,4
9/30/1999,HOMICIDE,40-49,M,BLK,3
3/31/2019,ASSAULT,50-59,UNKNOWN,WBH,1
6/30/2007,BATTERY,0-19,M,WHI,13
9/30/2001,ASSAULT,0-19,UNKNOWN,WWH,1
6/30/2017,ASSAULT,40-49,M,WBH,1
9/30/2015,ROBBERY,50-59,F,BLK,3
9/30/2014,ASSAULT,0-19,M,UNKNOWN,8
3/31/2014,BATTERY,40-49,F,BLK,16
3/31/1994,HOMICIDE,20-29,M,WHI,1
12/31/2004,ROBBERY,30-39,F,BLK,14
12/31/2020,ROBBERY,40-49,M,WWH,64
9/30/2021,BATTERY,70-79,M,WWH,3
3/31/2021,ASSAULT,50-59,F,WHI,3
12/31/2019,HOMICIDE,50-59,F,BLK,1
9/30/1997,HOMICIDE,60-69,M,WHI,1
6/30/2021,HOMICIDE,30-39,F,BLK,1
6/30/2001,BATTERY,50-59,M,WHI,25
6/30/2009,BATTERY,60-69,F,WHI,2
9/30/2003,ASSAULT,UNKNOWN,M,UNKNOWN,1
6/30/2005,HOMICIDE,50-59,M,BLK,5
6/30/2016,ROBBERY,20-29,M,WWH,1
12/31/2020,ASSAULT,0-19,F,WWH,4
9/30/2005,ASSAULT,0-19,F,UNKNOWN,1
6/30/2010,BATTERY,60-69,M,WHI,7
6/30/2020,CRIMINAL SEXUAL ASSAULT,20-29,F,WHI,12
6/30/2007,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,4
12/31/2003,ASSAULT,30-39,M,UNKNOWN,2
12/31/2014,BATTERY,60-69,F,BLK,7
9/30/2014,BATTERY,30-39,F,BLK,54
6/30/2009,ASSAULT,30-39,M,WWH,3
6/30/2017,BATTERY,40-49,M,WWH,29
6/30/2005,ROBBERY,50-59,F,API,7
6/30/2003,ROBBERY,0-19,F,API,2
6/30/2018,CRIMINAL SEXUAL ASSAULT,20-29,F,WWH,9
3/31/2019,ASSAULT,50-59,F,WHI,2
12/31/2007,BATTERY,50-59,M,WBH,1
6/30/2014,HOMICIDE,30-39,M,BLK,15
12/31/2019,ROBBERY,0-19,F,WHI,4
12/31/2010,ROBBERY,70-79,F,WWH,2
12/31/2008,ASSAULT,40-49,F,WHI,2
6/30/2012,BATTERY,30-39,M,BLK,57
12/31/2016,BATTERY,30-39,F,WHI,6
3/31/2008,ASSAULT,30-39,M,WBH,1
9/30/2019,BATTERY,70-79,M,WWH,2
9/30/2009,BATTERY,0-19,F,WHI,1
3/31/2002,BATTERY,40-49,M,API,1
6/30/2004,BATTERY,UNKNOWN,M,BLK,1
3/31/2018,ROBBERY,60-69,M,WWH,18
12/31/2013,BATTERY,50-59,M,API,1
9/30/2010,ROBBERY,20-29,F,WWH,68
3/31/2007,HOMICIDE,40-49,F,WHI,1
9/30/2008,BATTERY,40-49,M,WWH,41
6/30/2015,ROBBERY,UNKNOWN,F,BLK,1
6/30/2008,HOMICIDE,40-49,F,BLK,1
12/31/2016,BATTERY,60-69,M,BLK,1
3/31/2007,BATTERY,20-29,F,WHI,17
12/31/2016,ASSAULT,60-69,M,WWH,1
3/31/2011,ASSAULT,30-39,F,WBH,1
12/31/2017,ROBBERY,50-59,F,WHI,21
3/31/2013,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,2
3/31/2015,CRIMINAL SEXUAL ASSAULT,60-69,F,WWH,1
6/30/2004,ROBBERY,0-19,F,BLK,7
12/31/2011,ROBBERY,0-19,F,WHI,7
12/31/2002,BATTERY,60-69,M,API,1
6/30/2015,ASSAULT,40-49,F,BLK,24
9/30/2019,ASSAULT,20-29,F,WHI,10
3/31/2017,ROBBERY,20-29,M,WBH,6
6/30/2015,ROBBERY,0-19,M,BLK,134
6/30/2011,CRIMINAL SEXUAL ASSAULT,0-19,M,WBH,1
3/31/2007,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,89
12/31/2019,ASSAULT,20-29,M,WBH,1
6/30/2013,ROBBERY,50-59,M,BLK,127
9/30/2007,BATTERY,50-59,F,WHI,2
9/30/2001,BATTERY,0-19,F,WHI,2
6/30/2021,ROBBERY,60-69,M,WBH,1
9/30/2014,CRIMINAL SEXUAL ASSAULT,0-19,F,WBH,2
3/31/2021,CRIMINAL SEXUAL ASSAULT,20-29,F,WBH,1
3/31/2004,CRIMINAL SEXUAL ASSAULT,20-29,F,WHI,19
9/30/2010,BATTERY,0-19,M,WHI,5
3/31/2006,ASSAULT,0-19,M,WHI,6
6/30/1998,HOMICIDE,30-39,M,BLK,1
6/30/2012,ASSAULT,0-19,F,UNKNOWN,2
12/31/2014,ASSAULT,20-29,F,API,1
3/31/2009,ROBBERY,50-59,M,WWH,26
9/30/2003,ASSAULT,30-39,UNKNOWN,UNKNOWN,1
9/30/2001,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,1
6/30/2004,ASSAULT,70-79,F,BLK,2
12/31/1996,HOMICIDE,30-39,M,BLK,3
3/31/2022,BATTERY,20-29,F,BLK,15
3/31/2008,BATTERY,30-39,M,WWH,4
9/30/2014,ROBBERY,0-19,F,API,5
12/31/2001,ASSAULT,0-19,M,WWH,2
3/31/2003,ROBBERY,20-29,M,API,22
3/31/1993,HOMICIDE,0-19,F,BLK,1
6/30/2002,ROBBERY,UNKNOWN,M,BLK,11
3/31/2001,ROBBERY,60-69,F,WWH,2
3/31/2007,ROBBERY,0-19,M,WWH,36
9/30/2016,BATTERY,30-39,M,WBH,1
6/30/2003,ROBBERY,70-79,M,UNKNOWN,1
12/31/2018,ASSAULT,0-19,F,WWH,14
9/30/2011,BATTERY,40-49,F,WWH,3
9/30/2016,ASSAULT,30-39,M,WWH,9
9/30/2018,BATTERY,0-19,M,WHI,2
6/30/2011,ROBBERY,80+,UNKNOWN,UNKNOWN,1
6/30/2012,HOMICIDE,30-39,M,WWH,1
3/31/2011,BATTERY,30-39,F,WWH,4
3/31/2016,ASSAULT,40-49,M,WWH,33
3/31/2011,ASSAULT,60-69,M,WHI,2
3/31/2012,ROBBERY,0-19,UNKNOWN,UNKNOWN,1
3/31/1995,HOMICIDE,0-19,M,BLK,2
6/30/2013,BATTERY,60-69,UNKNOWN,BLK,1
6/30/2016,ROBBERY,0-19,F,WBH,2
9/30/2003,ROBBERY,0-19,M,BLK,146
6/30/2002,ASSAULT,40-49,M,API,1
9/30/2003,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,43
9/30/2020,ROBBERY,0-19,M,WBH,2
6/30/2006,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,1
12/31/2002,ASSAULT,30-39,M,UNKNOWN,1
12/31/2007,HOMICIDE,50-59,M,BLK,1
3/31/2015,BATTERY,40-49,F,BLK,29
3/31/2012,ASSAULT,30-39,M,BLK,20
3/31/2019,CRIMINAL SEXUAL ASSAULT,20-29,M,BLK,1
12/31/2020,BATTERY,20-29,M,WWH,9
6/30/2018,ROBBERY,30-39,F,WHI,47
3/31/1999,HOMICIDE,0-19,M,WWH,2
9/30/2010,HOMICIDE,20-29,F,BLK,1
3/31/1991,HOMICIDE,40-49,F,BLK,1
9/30/2009,ROBBERY,0-19,UNKNOWN,WHI,1
9/30/2017,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,2
9/30/2002,CRIMINAL SEXUAL ASSAULT,40-49,M,WHI,1
6/30/2007,ASSAULT,20-29,F,WHI,15
6/30/2001,ROBBERY,30-39,M,WHI,1
12/31/2021,ASSAULT,0-19,F,WWH,1
6/30/2008,BATTERY,60-69,F,WHI,2
6/30/2010,ASSAULT,0-19,M,BLK,93
12/31/2015,BATTERY,60-69,F,BLK,3
6/30/2015,ROBBERY,60-69,F,API,3
3/31/2004,BATTERY,70-79,F,BLK,2
6/30/2005,BATTERY,30-39,F,API,1
12/31/2003,ASSAULT,20-29,M,BLK,148
9/30/2015,ASSAULT,0-19,M,UNKNOWN,6
6/30/2006,BATTERY,0-19,M,WHI,10
9/30/2013,ASSAULT,50-59,M,UNKNOWN,2
6/30/2008,ASSAULT,30-39,M,WWH,10
12/31/2002,BATTERY,0-19,F,BLK,201
3/31/2020,ASSAULT,50-59,F,WHI,2
12/31/2016,CRIMINAL SEXUAL ASSAULT,0-19,M,WHI,1
3/31/2002,BATTERY,UNKNOWN,M,I,1
9/30/2012,ROBBERY,0-19,F,BLK,1
9/30/2012,ASSAULT,40-49,M,BLK,66
9/30/1993,HOMICIDE,30-39,M,WHI,1
12/31/1991,HOMICIDE,20-29,M,BLK,2
9/30/2011,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,1
9/30/2015,BATTERY,30-39,F,BLK,51
9/30/2002,ASSAULT,UNKNOWN,M,UNKNOWN,6
6/30/2011,ASSAULT,30-39,F,WWH,22
3/31/1992,HOMICIDE,0-19,M,BLK,16
3/31/2019,HOMICIDE,40-49,M,WHI,1
12/31/2020,ASSAULT,20-29,M,WBH,6
6/30/2011,BATTERY,60-69,M,WHI,8
12/31/2017,ASSAULT,30-39,F,WHI,2
9/30/2004,BATTERY,40-49,F,API,2
12/31/2008,BATTERY,80+,F,BLK,2
9/30/2007,ROBBERY,UNKNOWN,M,WWH,5
9/30/2015,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,2
12/31/2001,ASSAULT,20-29,F,WWH,19
9/30/2011,ASSAULT,0-19,M,WHI,2
12/31/2015,BATTERY,20-29,F,API,1
9/30/2018,ROBBERY,0-19,M,WWH,26
12/31/2015,HOMICIDE,0-19,M,BLK,3
9/30/2008,ROBBERY,20-29,M,WBH,7
6/30/2008,ROBBERY,80+,F,API,1
3/31/2022,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,3
6/30/2014,ROBBERY,30-39,F,UNKNOWN,4
12/31/2012,ROBBERY,30-39,UNKNOWN,UNKNOWN,3
6/30/2023,ASSAULT,40-49,F,UNKNOWN,2
3/31/2011,HOMICIDE,30-39,M,BLK,11
3/31/2005,ROBBERY,50-59,F,API,8
3/31/2017,BATTERY,40-49,M,WWH,18
6/30/2014,BATTERY,40-49,F,BLK,31
9/30/2003,ASSAULT,30-39,M,API,6
3/31/2022,BATTERY,40-49,M,WWH,6
6/30/2005,ASSAULT,UNKNOWN,M,BLK,3
9/30/2019,ROBBERY,40-49,F,WHI,1
12/31/2008,ROBBERY,20-29,F,WHI,2
9/30/2020,CRIMINAL SEXUAL ASSAULT,50-59,F,WWH,1
9/30/2017,BATTERY,30-39,M,WWH,10
9/30/2010,ROBBERY,0-19,M,WWH,102
12/31/2011,ROBBERY,20-29,M,WHI,223
9/30/2005,ROBBERY,0-19,UNKNOWN,UNKNOWN,8
9/30/2019,ASSAULT,0-19,M,WHI,2
3/31/2007,BATTERY,0-19,M,WHI,11
12/31/2010,BATTERY,40-49,M,WHI,7
12/31/2007,ROBBERY,30-39,M,WWH,149
9/30/2018,ASSAULT,70-79,M,WWH,2
12/31/2011,BATTERY,0-19,F,WWH,2
9/30/2001,ROBBERY,0-19,F,WWH,2
12/31/2019,BATTERY,0-19,F,WWH,6
9/30/2003,ROBBERY,50-59,UNKNOWN,UNKNOWN,2
9/30/2018,BATTERY,20-29,F,WHI,8
12/31/2012,ASSAULT,50-59,M,API,1
6/30/2015,ROBBERY,20-29,F,BLK,140
9/30/2010,ASSAULT,40-49,F,WWH,3
3/31/2004,BATTERY,30-39,F,API,1
9/30/2017,ASSAULT,30-39,M,WBH,4
6/30/2020,BATTERY,20-29,F,WHI,8
3/31/2007,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,12
12/31/2018,BATTERY,70-79,F,WHI,1
3/31/1992,HOMICIDE,40-49,M,WHI,1
9/30/1991,HOMICIDE,50-59,M,BLK,4
6/30/2018,BATTERY,50-59,M,BLK,8
6/30/1994,HOMICIDE,0-19,M,BLK,1
6/30/2002,BATTERY,0-19,M,UNKNOWN,1
3/31/2006,BATTERY,70-79,M,WWH,3
12/31/2018,ASSAULT,20-29,M,WWH,74
6/30/2013,ASSAULT,30-39,M,BLK,31
12/31/2006,BATTERY,20-29,M,BLK,283
9/30/1998,HOMICIDE,40-49,M,API,1
6/30/2021,ASSAULT,50-59,F,WHI,4
3/31/2014,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,1
12/31/2006,BATTERY,50-59,M,WWH,3
6/30/2018,CRIMINAL SEXUAL ASSAULT,20-29,M,BLK,7
12/31/2008,BATTERY,0-19,M,WWH,4
3/31/2002,BATTERY,40-49,UNKNOWN,UNKNOWN,1
9/30/2011,ROBBERY,70-79,M,WHI,12
12/31/2009,BATTERY,40-49,F,WHI,6
3/31/2006,CRIMINAL SEXUAL ASSAULT,40-49,F,WHI,1
12/31/2017,BATTERY,60-69,M,WWH,2
9/30/2009,ASSAULT,40-49,M,WWH,41
9/30/2001,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,1
9/30/2009,ROBBERY,0-19,F,WWH,1
3/31/2021,HOMICIDE,0-19,M,BLK,2
12/31/2021,CRIMINAL SEXUAL ASSAULT,50-59,F,BLK,11
3/31/2001,BATTERY,50-59,M,WHI,19
9/30/2020,HOMICIDE,0-19,F,BLK,2
12/31/2018,HOMICIDE,0-19,M,BLK,1
3/31/2018,BATTERY,50-59,F,WHI,1
3/31/2014,ROBBERY,60-69,F,API,3
3/31/2010,ASSAULT,30-39,F,WWH,11
9/30/2016,ROBBERY,50-59,M,WWH,63
9/30/2006,ASSAULT,50-59,F,WHI,3
6/30/2020,ROBBERY,60-69,M,WWH,1
9/30/2007,ROBBERY,60-69,M,WWH,23
9/30/2001,ROBBERY,80+,M,BLK,21
9/30/2008,ASSAULT,0-19,F,WHI,1
3/31/2019,ROBBERY,30-39,F,WHI,29
9/30/2001,BATTERY,20-29,M,WHI,3
3/31/2009,BATTERY,60-69,F,WHI,1
6/30/2013,BATTERY,0-19,F,UNKNOWN,1
9/30/2001,HOMICIDE,40-49,M,BLK,4
9/30/2009,BATTERY,40-49,M,WBH,3
12/31/2003,ASSAULT,UNKNOWN,M,API,1
6/30/2004,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,3
3/31/2016,BATTERY,0-19,F,WHI,1
9/30/2011,CRIMINAL SEXUAL ASSAULT,20-29,F,API,1
3/31/2010,BATTERY,60-69,M,WHI,3
6/30/2005,BATTERY,70-79,F,BLK,5
3/31/2006,ASSAULT,20-29,F,WHI,18
9/30/2010,ROBBERY,UNKNOWN,F,WWH,1
9/30/2015,BATTERY,40-49,F,BLK,21
3/31/2011,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,1
12/31/2012,ASSAULT,60-69,M,BLK,1
9/30/2015,ROBBERY,30-39,F,UNKNOWN,4
9/30/2012,ASSAULT,30-39,M,BLK,31
3/31/2016,ASSAULT,30-39,M,WWH,7
3/31/2009,BATTERY,0-19,F,WHI,1
9/30/2002,BATTERY,40-49,M,API,1
9/30/2018,ROBBERY,60-69,M,WWH,26
3/31/2014,CRIMINAL SEXUAL ASSAULT,0-19,F,WBH,1
6/30/2022,HOMICIDE,20-29,F,WWH,1
9/30/2014,ASSAULT,80+,F,BLK,2
12/31/2012,ASSAULT,30-39,F,WWH,12
12/31/2012,BATTERY,60-69,M,WHI,1
6/30/2001,BATTERY,0-19,F,BLK,69
3/31/2014,ASSAULT,20-29,M,BLK,70
3/31/2003,BATTERY,70-79,M,WHI,2
12/31/2010,ROBBERY,0-19,M,API,9
3/31/2007,ROBBERY,70-79,F,API,1
6/30/2020,CRIMINAL SEXUAL ASSAULT,80+,M,UNKNOWN,1
12/31/2004,ROBBERY,0-19,M,WBH,2
9/30/2002,ROBBERY,UNKNOWN,M,WHI,4
3/31/2020,ROBBERY,30-39,M,I,4
3/31/2003,ASSAULT,20-29,F,WWH,14
3/31/2022,HOMICIDE,20-29,F,BLK,5
9/30/2005,ASSAULT,0-19,F,WWH,4
9/30/2015,ASSAULT,40-49,F,WHI,3
6/30/2016,BATTERY,60-69,F,BLK,4
3/31/2012,BATTERY,40-49,M,WHI,9
12/31/2004,ASSAULT,UNKNOWN,F,WWH,1
12/31/2002,ROBBERY,30-39,M,WHI,141
9/30/2004,BATTERY,20-29,M,WWH,14
9/30/2005,ROBBERY,40-49,M,WWH,123
9/30/2009,ASSAULT,0-19,UNKNOWN,UNKNOWN,4
12/31/2014,ROBBERY,20-29,M,WWH,116
9/30/2014,NON-FATAL,0-19,M,WWH,1
9/30/2021,BATTERY,40-49,F,UNKNOWN,2
3/31/2005,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,13
12/31/2001,ASSAULT,40-49,M,API,2
12/31/2020,ASSAULT,0-19,F,UNKNOWN,1
3/31/2017,BATTERY,20-29,F,API,1
6/30/2018,ASSAULT,30-39,F,UNKNOWN,1
3/31/2004,BATTERY,50-59,M,WWH,4
